"STORE_SN","AREA_SD_CODE","AREA_DETAIL_CODE","PREF_SN","STORE_NM","STORE_ADDR","STORE_SCORE","LATITUDE","LONGITUDE"
"S190217_1558789137127","01","011312","10000000","토끼정 홍대","서울특별시 마포구 서교동 366-4 1층","0","37.551687233713","126.92064040728"
"S190217_1558789137887","01","011312","10000000","부야스곱창","서울특별시 마포구 서교동 331-9 2층","0","37.555770089456","126.92570850006"
"S190217_1558789138269","01","011319","10000000","갈스시","서울특별시 마포구 염리동 173-29 하나프라자","0","37.54271232572","126.94651342969"
"S190217_1558789139031","01","011307","01000000","1984","서울특별시 마포구 동교동 158-24 혜원빌딩 1층","0","37.557356745315","126.92283356418"
"S190217_1558789139814","01","011307","10000000","또보겠지떡볶이집 붕붕허니비점","서울특별시 마포구 동교동 153-3","0","37.55899304357","126.92441721031"
"S190217_1558789140574","01","011318","01000000","스탬프커피","서울특별시 마포구 연남동 240-4","0","37.565060155901","126.92377533769"
"S190217_1558789141721","01","011312","00100000","룸카페휴","서울특별시 마포구 서교동 364-22","0","37.552076267402","126.92180047636"
"S190217_1558789142102","01","011325","10000000","크레이지카츠","서울특별시 마포구 합정동 391-5 1층","0","37.550433841311","126.90974887105"
"S190217_1558789142865","01","011318","10000000","감칠","서울특별시 마포구 연남동 385-6 2층","0","37.562263169436","126.92632835418"
"S190217_1558789143643","01","011325","10000000","감성타코 합정점","서울특별시 마포구 합정동 473","0","37.551093217945","126.91187820161"
